delivery_time_utc,actual_price,actual_revision
2026-08-07T16:30:00Z,108.36,initial
2026-08-07T17:00:00Z,117.08,initial
2026-08-07T17:30:00Z,119.88,initial
2026-08-07T18:00:00Z,152.76,initial
2026-08-07T18:30:00Z,152.91,initial
2026-08-07T19:00:00Z,156.34,initial
2026-08-07T19:30:00Z,156.68,initial
2026-08-07T20:00:00Z,156.2,initial
2026-08-07T20:30:00Z,155.02,initial
2026-08-07T21:00:00Z,146.76,initial
2026-08-07T21:30:00Z,138.32,initial
2026-08-07T22:00:00Z,107.86,initial
2026-08-07T22:30:00Z,110.05,initial
2026-08-07T23:00:00Z,109.78,initial
2026-08-07T23:30:00Z,116.34,initial
2026-08-08T00:00:00Z,109.55,initial
2026-08-08T00:30:00Z,110.67,initial
2026-08-08T01:00:00Z,110.13,initial
2026-08-08T01:30:00Z,110.7,initial
2026-08-08T02:00:00Z,112.82,initial
2026-08-08T02:30:00Z,113.62,initial
2026-08-08T03:00:00Z,117.67,initial
2026-08-08T03:30:00Z,119.14,initial
2026-08-08T04:00:00Z,121.68,initial
2026-08-08T04:30:00Z,123.4,initial
2026-08-08T05:00:00Z,112.18,initial
2026-08-08T05:30:00Z,114.59,initial
2026-08-08T06:00:00Z,75.72,initial
2026-08-08T06:30:00Z,80.82,initial
2026-08-08T07:00:00Z,53.75,initial
2026-08-08T07:30:00Z,50.36,initial
2026-08-08T08:00:00Z,14.78,initial
2026-08-08T08:30:00Z,3.01,initial
2026-08-08T09:00:00Z,-1.08,initial
2026-08-08T09:30:00Z,-3.56,initial
2026-08-08T10:00:00Z,-3.29,initial
2026-08-08T10:30:00Z,-7.07,initial
2026-08-08T11:00:00Z,-5.34,initial
2026-08-08T11:30:00Z,-6.58,initial
2026-08-08T12:00:00Z,-5.9,initial
2026-08-08T12:30:00Z,-7.2,initial
2026-08-08T13:00:00Z,-6.91,initial
2026-08-08T13:30:00Z,-6.44,initial
2026-08-08T14:00:00Z,5.5,initial
2026-08-08T14:30:00Z,10.62,initial
2026-08-08T15:00:00Z,43.21,initial
2026-08-08T15:30:00Z,79.12,initial
2026-08-08T16:00:00Z,117.46,initial
2026-08-08T16:30:00Z,124.7,initial
2026-08-08T17:00:00Z,135.47,initial
2026-08-08T17:30:00Z,147.92,initial
2026-08-08T18:00:00Z,158.35,initial
2026-08-08T18:30:00Z,162.94,initial
2026-08-08T19:00:00Z,160.53,initial
2026-08-08T19:30:00Z,158.3,initial
2026-08-08T20:00:00Z,153.1,initial
2026-08-08T20:30:00Z,151.98,initial
2026-08-08T21:00:00Z,148.16,initial
